case,phi,agent_Y,reference_Y,abs_diff_Y,agent_w,reference_w,abs_diff_w,agent_R,reference_R,abs_diff_R,agent_wage_bill,reference_wage_bill,abs_diff_wage_bill,agent_capital_income,reference_capital_income,abs_diff_capital_income
right,0.2,1.321714047032297,1.321714047032297,0.0,1.3217139179586728,1.3217139179586728,0.0,1.2907362480065165e-08,1.2907362480065165e-08,0.0,1.3217139179586728,1.3217139179586728,0.0,1.2907362480065164e-07,1.2907362480065164e-07,0.0
right,0.21,1.3426602185674423,1.3426602185674423,0.0,1.3426600403594895,1.3426600403594895,0.0,1.782079527458226e-08,1.782079527458226e-08,0.0,1.3426600403594895,1.3426600403594895,0.0,1.7820795274582258e-07,1.7820795274582258e-07,0.0
right,0.22,1.3642115660905356,1.3642115660905356,0.0,1.3642113225775974,1.3642113225775974,0.0,2.4351293793413957e-08,2.4351293793413957e-08,0.0,1.3642113225775974,1.3642113225775974,0.0,2.435129379341396e-07,2.435129379341396e-07,0.0
right,0.23,1.386393672904025,1.386393672904025,0.0,1.3863933432396498,1.3863933432396498,0.0,3.2966437559975416e-08,3.2966437559975416e-08,0.0,1.3863933432396498,1.3863933432396498,0.0,3.2966437559975416e-07,3.2966437559975416e-07,0.0
right,0.24,1.409233555046246,1.409233555046246,0.0,1.409233112487339,1.409233112487339,0.0,4.425589074872025e-08,4.425589074872025e-08,0.0,1.409233112487339,1.409233112487339,0.0,4.4255890748720246e-07,4.4255890748720246e-07,0.0
right,0.25,1.432759761694811,1.432759761694811,0.0,1.4327591720819826,1.4327591720819826,0.0,5.896128280172768e-08,5.896128280172768e-08,0.0,1.4327591720819826,1.4327591720819826,0.0,5.896128280172768e-07,5.896128280172768e-07,0.0
right,0.26,1.4570024840526268,1.4570024840526268,0.0,1.4570017039204324,1.4570017039204324,0.0,7.801321947256763e-08,7.801321947256763e-08,0.0,1.4570017039204324,1.4570017039204324,0.0,7.801321947256764e-07,7.801321947256764e-07,0.0
right,0.27,1.481993673557912,1.481993673557912,0.0,1.4819926477865522,1.4819926477865522,0.0,1.0257713602162606e-07,1.0257713602162606e-07,0.0,1.4819926477865522,1.4819926477865522,0.0,1.0257713602162605e-06,1.0257713602162605e-06,0.0
right,0.28,1.5077671703555875,1.5077671703555875,0.0,1.5077658292543255,1.5077658292543255,0.0,1.3411012618904146e-07,1.3411012618904146e-07,0.0,1.5077658292543255,1.5077658292543255,0.0,1.3411012618904146e-06,1.3411012618904146e-06,0.0
right,0.29,1.5343588430758137,1.5343588430758137,0.0,1.5343570987617074,1.5343570987617074,0.0,1.7443141058793858e-07,1.7443141058793858e-07,0.0,1.5343570987617074,1.5343570987617074,0.0,1.7443141058793858e-06,1.7443141058793858e-06,0.0
right,0.3,1.5618067410880423,1.5618067410880423,0.0,1.5618044829902888,1.5618044829902888,0.0,2.258097753118583e-07,2.258097753118583e-07,0.0,1.5618044829902888,1.5618044829902888,0.0,2.258097753118583e-06,2.258097753118583e-06,0.0
right,0.31,1.5901512605377806,1.5901512605377806,0.0,1.5901483498162503,1.5901483498162503,0.0,2.9107215305113596e-07,2.9107215305113596e-07,0.0,1.5901483498162503,1.5901483498162503,0.0,2.9107215305113596e-06,2.9107215305113596e-06,0.0
right,0.32,1.6194353256307594,1.6194353256307594,0.0,1.6194315882449322,1.6194315882449322,0.0,3.7373858271368153e-07,3.7373858271368153e-07,0.0,1.6194315882449322,1.6194315882449322,0.0,3.7373858271368152e-06,3.7373858271368152e-06,0.0
right,0.33,1.6497045868081233,1.6497045868081233,0.0,1.6496998049068115,1.6496998049068115,0.0,4.781901311390949e-07,4.781901311390949e-07,0.0,1.6496998049068115,1.6496998049068115,0.0,4.781901311390949e-06,4.781901311390949e-06,0.0
right,0.34,1.6810076376598733,1.6810076376598733,0.0,1.681001538879156,1.681001538879156,0.0,6.098780717465502e-07,6.098780717465502e-07,0.0,1.681001538879156,1.681001538879156,0.0,6.098780717465502e-06,6.098780717465502e-06,0.0
